epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,297.915,1.10495,0.60858,1.05886,0.80978,0.76223,0.83106,0.52112,1.15637,0.60812,1.19101,0.005743,0.005743,0.005743
45,304.602,1.09187,0.59202,1.05681,0.80781,0.83146,0.84214,0.53156,1.07997,0.62832,1.17951,0.005644,0.005644,0.005644
46,311.287,1.09345,0.60361,1.05647,0.84474,0.87826,0.87612,0.54239,1.02929,0.55148,1.12894,0.005545,0.005545,0.005545
47,317.961,1.0967,0.59761,1.04257,0.78379,0.84599,0.88407,0.56093,1.12651,0.57997,1.18566,0.005446,0.005446,0.005446
48,324.58,1.10902,0.60745,1.04998,0.85343,0.84091,0.89324,0.56531,1.10474,0.60241,1.17997,0.005347,0.005347,0.005347
49,331.182,1.09605,0.59185,1.04553,0.75804,0.85687,0.84963,0.55928,1.03845,0.53199,1.14513,0.005248,0.005248,0.005248
50,337.866,1.10624,0.60308,1.05012,0.7895,0.83622,0.86074,0.55803,1.05247,0.5723,1.11831,0.005149,0.005149,0.005149
51,344.481,1.07444,0.58295,1.04044,0.85756,0.8818,0.9163,0.57761,1.03737,0.52573,1.11969,0.00505,0.00505,0.00505
52,351.159,1.07726,0.58395,1.04074,0.86079,0.94301,0.94711,0.6057,0.99054,0.50655,1.10159,0.004951,0.004951,0.004951
53,357.807,1.0971,0.58621,1.0419,0.89848,0.88808,0.90798,0.57898,1.01605,0.52418,1.10737,0.004852,0.004852,0.004852
54,364.375,1.05277,0.5725,1.02939,0.80936,0.85463,0.87027,0.57851,1.03985,0.53977,1.12262,0.004753,0.004753,0.004753
55,371.081,1.03812,0.55478,1.02423,0.7927,0.87942,0.8533,0.55326,1.01194,0.52595,1.12815,0.004654,0.004654,0.004654
56,378.132,1.05628,0.5615,1.02684,0.83505,0.86896,0.88573,0.58082,1.0265,0.51285,1.11232,0.004555,0.004555,0.004555
57,384.832,1.06316,0.55772,1.04191,0.852,0.86477,0.87099,0.57566,0.9971,0.52439,1.0967,0.004456,0.004456,0.004456
58,391.433,1.03441,0.55589,1.02373,0.82289,0.82251,0.8696,0.57707,0.99373,0.52327,1.09855,0.004357,0.004357,0.004357
59,398.011,1.07888,0.57561,1.02917,0.87959,0.88203,0.90862,0.56235,1.08069,0.54087,1.13934,0.004258,0.004258,0.004258
60,404.644,1.0789,0.57318,1.03219,0.80775,0.87514,0.89805,0.57965,1.03322,0.54717,1.11849,0.004159,0.004159,0.004159
61,411.254,1.02846,0.55123,1.01283,0.87254,0.88307,0.91066,0.58699,1.0021,0.52286,1.10757,0.00406,0.00406,0.00406
62,418.273,1.054,0.56084,1.02963,0.78388,0.91866,0.86701,0.59117,0.97732,0.50422,1.09466,0.003961,0.003961,0.003961
63,424.867,1.07003,0.55587,1.0411,0.88361,0.88124,0.92876,0.60987,1.02875,0.5053,1.11985,0.003862,0.003862,0.003862
64,431.499,1.0667,0.55691,1.02305,0.89225,0.90445,0.93039,0.59461,0.99613,0.49866,1.10332,0.003763,0.003763,0.003763
65,438.139,1.0459,0.55615,1.02584,0.86804,0.91618,0.92446,0.61177,1.00884,0.50502,1.11632,0.003664,0.003664,0.003664
66,444.696,1.03905,0.5394,1.01009,0.86093,0.90684,0.90508,0.57599,1.02897,0.52177,1.12916,0.003565,0.003565,0.003565
67,451.236,1.0098,0.53462,1.01122,0.86538,0.87545,0.88901,0.5974,0.99336,0.49487,1.10506,0.003466,0.003466,0.003466
68,457.769,1.02234,0.53567,1.02001,0.83004,0.96341,0.93152,0.63266,0.97406,0.49825,1.08024,0.003367,0.003367,0.003367
69,464.391,1.02629,0.53667,1.0004,0.84533,0.89758,0.91933,0.60652,0.98683,0.49819,1.0871,0.003268,0.003268,0.003268
70,470.983,1.00245,0.53085,1.00665,0.85091,0.91176,0.89015,0.59235,1.00105,0.4955,1.11168,0.003169,0.003169,0.003169
71,477.526,1.01359,0.52564,1.00767,0.87655,0.88719,0.91412,0.60069,0.96907,0.4845,1.10121,0.00307,0.00307,0.00307
72,484.142,1.01254,0.52013,1.01215,0.82987,0.87534,0.88024,0.59764,0.95973,0.48308,1.09538,0.002971,0.002971,0.002971
73,490.737,1.00881,0.52762,1.01001,0.87035,0.92991,0.92724,0.61961,0.94757,0.47281,1.07492,0.002872,0.002872,0.002872
74,497.373,0.99653,0.51112,1.00352,0.86162,0.89065,0.90839,0.62227,0.95672,0.47285,1.05934,0.002773,0.002773,0.002773
75,503.95,1.02434,0.51951,1.00791,0.91011,0.94461,0.95855,0.6408,0.95663,0.46081,1.07739,0.002674,0.002674,0.002674
76,510.553,1.00401,0.51295,0.99382,0.9288,0.86471,0.94039,0.61812,0.99948,0.47547,1.10835,0.002575,0.002575,0.002575
77,517.191,1.00796,0.51335,1.00317,0.92801,0.91043,0.94737,0.62449,0.96009,0.47235,1.08757,0.002476,0.002476,0.002476
78,523.802,0.99388,0.50154,1.00594,0.9149,0.84324,0.91472,0.59284,1.00348,0.47629,1.12084,0.002377,0.002377,0.002377
79,530.28,0.98759,0.50213,0.99702,0.84814,0.92197,0.91508,0.61319,0.99077,0.46081,1.10387,0.002278,0.002278,0.002278
80,536.755,0.98351,0.49852,0.99643,0.93298,0.81697,0.87061,0.59497,0.96002,0.46227,1.0776,0.002179,0.002179,0.002179
